iter	Passed	Remaining
431	1633	2147
432	1636	2142
433	1642	2142
434	1645	2137
435	1649	2133
436	1656	2133
437	1658	2128
438	1661	2122
439	1663	2117
440	1665	2111
441	1672	2111
442	1676	2107
443	1678	2102
444	1683	2099
445	1689	2098
446	1692	2093
447	1695	2088
448	1697	2083
449	1702	2081
450	1704	2075
451	1706	2069
452	1708	2063
453	1710	2056
454	1712	2050
455	1714	2044
456	1718	2042
457	1720	2036
458	1722	2030
459	1724	2024
460	1726	2018
461	1728	2012
462	1730	2006
463	1734	2003
464	1736	1997
465	1738	1992
466	1740	1986
467	1742	1980
468	1743	1974
469	1745	1968
470	1749	1965
471	1751	1959
472	1753	1953
473	1755	1948
474	1757	1942
475	1758	1936
476	1760	1930
477	1764	1927
478	1766	1921
479	1768	1915
480	1770	1910
481	1772	1904
482	1774	1899
483	1776	1894
484	1787	1897
485	1789	1892
486	1795	1891
487	1798	1886
488	1800	1881
489	1803	1876
490	1806	1872
491	1811	1870
492	1815	1867
493	1817	1861
494	1819	1856
495	1821	1850
496	1823	1845
497	1827	1842
498	1829	1836
499	1831	1831
500	1833	1826
501	1835	1820
502	1837	1815
503	1839	1810
504	1842	1805
505	1844	1800
506	1845	1794
507	1848	1790
508	1850	1784
509	1851	1779
510	1856	1776
511	1858	1771
512	1860	1766
513	1862	1761
514	1864	1756
515	1866	1750
516	1868	1745
517	1870	1740
518	1872	1735
519	1874	1730
520	1876	1724
521	1878	1719
522	1880	1714
523	1884	1712
524	1887	1707
525	1889	1702
526	1891	1697
527	1893	1692
528	1895	1687
529	1899	1684
530	1901	1679
531	1903	1674
532	1905	1669
533	1906	1664
534	1908	1659
535	1910	1653
536	1912	1648
537	1914	1644
538	1916	1639
539	1918	1634
540	1920	1629
541	1922	1624
542	1924	1619
543	1926	1614
544	1928	1609
545	1930	1605
546	1932	1600
547	1934	1595
548	1936	1590
549	1938	1585
550	1945	1585
551	1948	1581
552	1951	1577
553	1955	1573
554	1961	1572
555	1964	1568
556	1968	1565
557	1971	1561
558	1974	1557
559	1976	1552
560	1978	1548
561	1981	1544
562	1983	1539
563	1990	1538
564	1992	1533
565	1994	1529
566	1996	1524
567	1998	1520
568	2004	1518
569	2006	1513
570	2008	1508
571	2010	1504
572	2012	1499
573	2020	1499
574	2023	1495
575	2026	1491
576	2028	1487
577	2034	1485
578	2037	1481
579	2039	1477
580	2042	1472
581	2043	1468
582	2049	1465
583	2051	1461
584	2055	1457
585	2057	1453
586	2061	1450
587	2065	1447
588	2075	1448
589	2077	1443
590	2084	1442
591	2087	1438
592	2090	1434
593	2097	1433
594	2100	1429
595	2102	1425
596	2105	1421
597	2113	1420
598	2115	1415
599	2116	1411
600	2118	1406
601	2120	1402
602	2122	1397
603	2125	1393
604	2127	1388
605	2128	1384
606	2130	1379
607	2132	1374
608	2134	1370
609	2139	1367
610	2141	1363
611	2143	1359
612	2145	1354
613	2147	1350
614	2149	1345
615	2155	1343
616	2157	1339
617	2159	1334
618	2161	1330
619	2162	1325
620	2164	1321
621	2169	1318
622	2171	1313
623	2173	1309
624	2175	1305
625	2176	1300
626	2178	1296
627	2180	1291
628	2185	1288
629	2187	1284
630	2189	1280
631	2190	1275
632	2192	1271
633	2194	1266
634	2196	1262
635	2201	1259
636	2206	1257
637	2208	1253
638	2210	1248
639	2212	1244
640	2217	1241
641	2219	1237
642	2224	1234
643	2226	1230
644	2232	1228
645	2235	1224
646	2237	1220
647	2241	1217
648	2244	1213
649	2248	1210
650	2249	1206
651	2251	1201
652	2253	1197
653	2255	1193
654	2263	1192
655	2265	1187
656	2267	1183
657	2268	1179
658	2270	1174
659	2272	1170
660	2277	1167
661	2279	1164
662	2281	1159
663	2283	1155
664	2285	1151
665	2287	1147
666	2289	1142
667	2293	1140
668	2295	1135
669	2297	1131
670	2299	1127
671	2301	1123
672	2303	1119
673	2305	1114
674	2307	1110
675	2309	1106
676	2311	1102
677	2313	1098
678	2315	1094
679	2316	1090
680	2321	1087
681	2323	1083
682	2325	1079
683	2327	1075
684	2329	1071
685	2330	1066
686	2332	1062
687	2337	1059
688	2338	1055
689	2340	1051
690	2342	1047
691	2344	1043
692	2345	1039
693	2347	1035
694	2351	1032
695	2353	1027
696	2355	1023
697	2357	1019
698	2359	1015
699	2360	1011
700	2362	1007
701	2364	1003
702	2368	1000
703	2370	996
704	2371	992
705	2373	988
706	2375	984
707	2377	980
708	2378	976
709	2382	973
710	2384	969
711	2386	965
712	2388	961
713	2390	957
714	2392	953
715	2394	949
716	2398	946
717	2400	942
718	2402	938
719	2404	935
720	2406	931
721	2408	927
722	2412	924
723	2415	920
724	2417	916
725	2420	913
726	2423	910
727	2427	906
728	2429	903
729	2431	899
730	2433	895
731	2435	891
732	2437	887
733	2439	884
734	2443	881
735	2445	877
736	2447	873
737	2449	869
738	2454	866
739	2458	863
740	2462	860
741	2464	856
742	2466	852
743	2467	849
744	2470	845
745	2475	842
746	2477	839
747	2480	835
748	2482	831
749	2490	830
750	2492	826
751	2494	822
752	2495	818
753	2497	814
754	2503	812
755	2509	809
756	2512	806
757	2514	802
758	2519	799
759	2521	796
760	2524	792
761	2526	789
762	2532	786
763	2535	783
764	2537	779
765	2540	776
766	2548	774
767	2551	770
768	2554	767
769	2557	763
770	2563	761
771	2565	757
772	2568	754
773	2570	750
774	2573	747
775	2578	744
776	2581	740
777	2583	737
778	2586	733
779	2599	733
780	2601	729
781	2615	729
782	2618	725
783	2621	722
784	2628	719
785	2631	716
